"kanon","beta","eps","delta","AggHours","ActivityID","MCC","BestForAllSamplesRMSE","maxRMSEpct","P1front"
20,0.5,1.39314718055995,7.82608985900878e-05,1,123,1,0.0131722039763001,1.31722039763001,0
20,0.5,1.39314718055995,7.82608985900878e-05,2,123,0.865622680193739,0.0185908124267603,1.85908124267603,0
20,0.5,1.39314718055995,7.82608985900878e-05,3,123,0.726849712284259,0.0235814617245787,2.35814617245787,0
20,0.5,1.39314718055995,7.82608985900878e-05,4,123,0.592756965569859,0.0265795183497878,2.65795183497878,0
10,0.25,1.18768207245178,3.9823353290558e-05,1,123,1,0.0123646497191836,1.23646497191836,1
10,0.25,1.18768207245178,3.9823353290558e-05,2,123,0.865622680193739,0.015324410329722,1.5324410329722,0
10,0.25,1.18768207245178,3.9823353290558e-05,3,123,0.726849712284259,0.0215087070627583,2.15087070627583,0
10,0.25,1.18768207245178,3.9823353290558e-05,4,123,0.592756965569859,0.0236610304556275,2.36610304556275,0
5,0.1,1.15536051565783,5.49999999999999e-05,1,123,1,0.0101845580496959,1.01845580496959,1
5,0.1,1.15536051565783,5.49999999999999e-05,2,123,0.865622680193739,0.0119634015849547,1.19634015849547,0
5,0.1,1.15536051565783,5.49999999999999e-05,3,123,0.726849712284259,0.0161094115652772,1.61094115652772,0
5,0.1,1.15536051565783,5.49999999999999e-05,4,123,0.592756965569859,0.0162010013590291,1.62010013590291,0
30,0.5,0.893147180559945,9.55382129177449e-05,1,123,1,0.0133123996178085,1.33123996178085,0
30,0.5,0.893147180559945,9.55382129177449e-05,2,123,0.865622680193739,0.0189410567380174,1.89410567380174,0
30,0.5,0.893147180559945,9.55382129177449e-05,3,123,0.726849712284259,0.0255106476718688,2.55106476718688,0
30,0.5,0.893147180559945,9.55382129177449e-05,4,123,0.592756965569859,0.0279592616988126,2.79592616988126,0
5,0.05,0.561293294387551,6.36898314453124e-05,1,123,1,0.0148512112328703,1.48512112328703,1
5,0.05,0.561293294387551,6.36898314453124e-05,2,123,0.865622680193739,0.0163616110360462,1.63616110360462,0
5,0.05,0.561293294387551,6.36898314453124e-05,3,123,0.726849712284259,0.0221056947731769,2.21056947731769,0
5,0.05,0.561293294387551,6.36898314453124e-05,4,123,0.592756965569859,0.0187330336496296,1.87330336496296,0
20,0.25,0.497682072451781,8.83251375557965e-05,1,123,1,0.0113881750311264,1.13881750311264,1
20,0.25,0.497682072451781,8.83251375557965e-05,2,123,0.865622680193739,0.0175945797135815,1.75945797135815,0
20,0.25,0.497682072451781,8.83251375557965e-05,3,123,0.726849712284259,0.0231636272512216,2.31636272512216,0
20,0.25,0.497682072451781,8.83251375557965e-05,4,123,0.592756965569859,0.0256790824182261,2.56790824182261,0
10,0.1,0.385360515657826,7.89819010661692e-05,1,123,1,0.0156031741496507,1.56031741496507,0
10,0.1,0.385360515657826,7.89819010661692e-05,2,123,0.865622680193739,0.0159509995453362,1.59509995453362,0
10,0.1,0.385360515657826,7.89819010661692e-05,3,123,0.726849712284259,0.0253408347191677,2.53408347191677,0
10,0.1,0.385360515657826,7.89819010661692e-05,4,123,0.592756965569859,0.0232423109580323,2.32423109580323,0
30,0.25,0.347682072451781,8.57839863435034e-05,1,123,1,0.0130358282330749,1.30358282330749,1
30,0.25,0.347682072451781,8.57839863435034e-05,2,123,0.865622680193739,0.0185164651483225,1.85164651483225,0
30,0.25,0.347682072451781,8.57839863435034e-05,3,123,0.726849712284259,0.024756344050645,2.4756344050645,0
30,0.25,0.347682072451781,8.57839863435034e-05,4,123,0.592756965569859,0.026735446951626,2.6735446951626,0
10,0.05,0.191293294387551,7.55489713506788e-05,1,123,1,0.0147249649786746,1.47249649786746,1
10,0.05,0.191293294387551,7.55489713506788e-05,2,123,0.865622680193739,0.0199050848444829,1.99050848444829,0
10,0.05,0.191293294387551,7.55489713506788e-05,3,123,0.726849712284259,0.0214135411120254,2.14135411120254,0
10,0.05,0.191293294387551,7.55489713506788e-05,4,123,0.592756965569859,0.0267006019922439,2.67006019922439,0
20,0.1,0.185360515657826,7.60976056415686e-05,1,123,1,0.0138692933127713,1.38692933127713,1
20,0.1,0.185360515657826,7.60976056415686e-05,2,123,0.865622680193739,0.0178734935535978,1.78734935535978,0
20,0.1,0.185360515657826,7.60976056415686e-05,3,123,0.726849712284259,0.0230072640402727,2.30072640402727,0
20,0.1,0.185360515657826,7.60976056415686e-05,4,123,0.592756965569859,0.0246113646876027,2.46113646876027,0
30,0.1,0.125360515657826,9.48527140077063e-05,1,123,1,0.014077688472656,1.4077688472656,1
30,0.1,0.125360515657826,9.48527140077063e-05,2,123,0.865622680193739,0.0175354246336214,1.75354246336214,0
30,0.1,0.125360515657826,9.48527140077063e-05,3,123,0.726849712284259,0.0248350812766695,2.48350812766695,0
30,0.1,0.125360515657826,9.48527140077063e-05,4,123,0.592756965569859,0.0266104191641916,2.66104191641916,0
20,0.05,0.0912932943875506,6.45580393690511e-05,1,123,1,0.0166161068544623,1.66161068544623,1
20,0.05,0.0912932943875506,6.45580393690511e-05,2,123,0.865622680193739,0.0195217318639157,1.95217318639157,0
20,0.05,0.0912932943875506,6.45580393690511e-05,3,123,0.726849712284259,0.025459999445414,2.5459999445414,0
20,0.05,0.0912932943875506,6.45580393690511e-05,4,123,0.592756965569859,0.0257919805870316,2.57919805870316,0
30,0.05,0.0612932943875506,8.95091970118551e-05,1,123,1,0.0205674971216777,2.05674971216777,1
30,0.05,0.0612932943875506,8.95091970118551e-05,2,123,0.865622680193739,0.0190663130058599,1.90663130058599,1
30,0.05,0.0612932943875506,8.95091970118551e-05,3,123,0.726849712284259,0.024626725762565,2.4626725762565,0
30,0.05,0.0612932943875506,8.95091970118551e-05,4,123,0.592756965569859,0.0269773956414774,2.69773956414774,0
